Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,Va_mag,Va_ang,Ra,Xa,Vb_mag,Vb_ang,Rb,Xb,Vc_mag,Vc_ang,Rc,Xc,RFault,A,B,C,G
6552.899826,6804.930627,6619.901213,0.0065529,0.006804931,0.006619901,9267.199807,-1.601323627,1000000.003,-0.108539672,9623.625183,2.609795445,1000000.09,0.052529899,9361.954077,0.554073525,999999.9089,0.057040938,0.001,0,0,0,0
6549.8962,6809.237388,6619.439383,0.006549896,0.006809237,0.006619439,9262.952039,-1.601788803,1000000.003,-0.108602074,9629.715863,2.609842903,1000000.09,0.052489581,9361.300951,0.554550621,999999.9089,0.057105,0.001,0,0,0,0
6550.371863,6809.029053,6619.763243,0.006550372,0.006809029,0.006619763,9263.624727,-1.601901422,1000000.003,-0.108594306,9629.421233,2.609791819,1000000.09,0.052495803,9361.758957,0.554595147,999999.9089,0.05710669,0.001,0,0,0,0
6550.218464,6809.491844,6617.394464,0.006550218,0.006809492,0.006617394,9263.407788,-1.601797692,1000000.003,-0.108600152,9630.075719,2.609916808,1000000.09,0.052484754,9358.408998,0.5545595,999999.9089,0.057123173,0.001,0,0,0,0
6550.492756,6808.427547,6618.855299,0.006550493,0.006808428,0.006618855,9263.795696,-1.601737236,1000000.003,-0.108591293,9628.570576,2.609853774,1000000.09,0.052496427,9360.474931,0.554509441,999999.9089,0.057103708,0.001,0,0,0,0
6549.785217,6809.986332,6619.851915,0.006549785,0.006809986,0.006619852,9262.795085,-1.601773439,1000000.003,-0.108605526,9630.77503,2.609866224,1000000.09,0.052480271,9361.884359,0.554752463,999999.9089,0.057122784,0.001,0,0,0,0
6550.016413,6808.415689,6619.419001,0.006550016,0.006808416,0.006619419,9263.122045,-1.601985297,1000000.003,-0.108599657,9628.553805,2.609906053,1000000.09,0.052492807,9361.272126,0.554356748,999999.9089,0.057085101,0.001,0,0,0,0
6549.286656,6808.952467,6618.559808,0.006549287,0.006808952,0.00661856,9262.090013,-1.601905909,1000000.003,-0.108613396,9629.312924,2.609738469,1000000.09,0.052500946,9360.057044,0.554577844,999999.9089,0.057116868,0.001,0,0,0,0
6549.003789,6809.158752,6620.366066,0.006549004,0.006809159,0.006620366,9261.689978,-1.602105229,1000000.003,-0.108617179,9629.604655,2.60976879,1000000.09,0.052495512,9362.611478,0.554492718,999999.9089,0.057094258,0.001,0,0,0,0
6550.510923,6809.362425,6618.407485,0.006550511,0.006809362,0.006618407,9263.821388,-1.601820406,1000000.003,-0.108593946,9629.892692,2.609759277,1000000.09,0.052496989,9359.841627,0.554689053,999999.9089,0.057127863,0.001,0,0,0,0
